"ID","Latitude","Longitude","Notes","DMS","UTM","MGRS","CRS","CRS Code","Elevation(MSL)","Address","Date Record","GPS Accuracy(m)","Photo1","Photo2","Photo3"
"PT_1","26.835786216245545","75.65131165087223","null","26° 50' 8.83'' N | 75° 39' 4.72'' E","564714.439E 2968413.319N 43R","43REK 64714 68413","75.65131165 26.83578622","EPSG:4326","null","RMP2+FP6, Mahapura Rd, opposite J K Laxmipath University, Jaipur, Rajasthan 302026, India","Record Date: 2025-10-18 22:01:56","null","null","null","null"
"PT_2","26.837407397333223","75.65114535391331","null","26° 50' 14.67'' N | 75° 39' 4.12'' E","564696.994E 2968592.798N 43R","43REK 64697 68593","75.65114535 26.8374074","EPSG:4326","null","RMP2+WHP, J.k.Laxmi University Sarangpura Rd, Rajasthan 302026, India","Record Date: 2025-10-18 22:02:22","null","null","null","null"
"PT_3","26.836622388388918","75.64845744520426","null","26° 50' 11.84'' N | 75° 38' 54.45'' E","564430.364E 2968504.482N 43R","43REK 64430 68504","75.64845745 26.83662239","EPSG:4326","null","Emaar Jaipur Greens Mahindra Sez, G-329, 200 Feet Rd, near JK Lakshmipat University, Jaipur, Rajasthan 302026, India","Record Date: 2025-10-18 22:02:35","null","null","null","null"
"PT_4","26.836051578163385","75.64818117767572","null","26° 50' 9.79'' N | 75° 38' 53.45'' E","564403.237E 2968441.118N 43R","43REK 64403 68441","75.64818118 26.83605158","EPSG:4326","null","Emaar Jaipur Greens Mahindra Sez, G-329, 200 Feet Rd, near JK Lakshmipat University, Jaipur, Rajasthan 302026, India","Record Date: 2025-10-18 22:02:45","null","null","null","null"
"PT_5","26.835461618240164","75.65019752830267","null","26° 50' 7.66'' N | 75° 39' 0.71'' E","564603.921E 2968376.799N 43R","43REK 64604 68377","75.65019753 26.83546162","EPSG:4326","null","RMP2+848, Mahapura Rd, near Mahindra SEZ, Jaipur, Rajasthan 302026, India","Record Date: 2025-10-18 22:03:07","null","null","null","null"
"PT_6","26.834609880617364","75.65087344497442","null","26° 50' 4.6'' N | 75° 39' 3.14'' E","564671.566E 2968282.804N 43R","43REK 64672 68283","75.65087344 26.83460988","EPSG:4326","null","Boys Hostel 2, JK lakshmipat University, Mahapura, Rajasthan 302026, India","Record Date: 2025-10-18 22:03:27","null","null","null","null"
"PT_7","26.834014228898674","75.651178881526","null","26° 50' 2.45'' N | 75° 39' 4.24'' E","564702.254E 2968216.985N 43R","43REK 64702 68217","75.65117888 26.83401423","EPSG:4326","null","Boys Hostel 2, JK lakshmipat University, Mahapura, Rajasthan 302026, India","Record Date: 2025-10-18 22:03:40","null","null","null","null"
"PT_8","26.83333241176029","75.65138272941113","null","26° 49' 60.0'' N | 75° 39' 4.98'' E","564722.897E 2968141.57N 43R","43REK 64723 68142","75.65138273 26.83333241","EPSG:4326","null","RMM2+9JH, Jaipur, Rajasthan 302026, India","Record Date: 2025-10-18 22:04:16","null","null","null","null"
"PT_9","26.832626058039946","75.65278552472591","null","26° 49' 57.45'' N | 75° 39' 10.03'' E","564862.688E 2968064.05N 43R","43REK 64863 68064","75.65278552 26.83262606","EPSG:4326","null","2 BHK, JK lakshmipat University, Mahapura Rd, Jaipur, Rajasthan 302026, India","Record Date: 2025-10-18 22:04:42","null","null","null","null"
"PT_10","26.833887678682544","75.65269734710455","null","26° 50' 2.0'' N | 75° 39' 9.71'' E","564853.207E 2968203.743N 43R","43REK 64853 68204","75.65269735 26.83388768","EPSG:4326","null","2 BHK, JK lakshmipat University, Mahapura Rd, Jaipur, Rajasthan 302026, India","Record Date: 2025-10-18 22:05:01","null","null","null","null"
"PT_11","26.834122828616806","75.6522286310792","null","26° 50' 2.84'' N | 75° 39' 8.02'' E","564806.5E 2968229.549N 43R","43REK 64806 68230","75.65222863 26.83412283","EPSG:4326","null","2 BHK, JK lakshmipat University, Mahapura Rd, Jaipur, Rajasthan 302026, India","Record Date: 2025-10-18 22:05:23","null","null","null","null"
"PT_12","26.83494166115547","75.6524958461523","null","26° 50' 5.79'' N | 75° 39' 8.99'' E","564832.585E 2968320.38N 43R","43REK 64833 68320","75.65249585 26.83494166","EPSG:4326","null","Jklu11 A, Jaipur, Rajasthan 302026, India","Record Date: 2025-10-18 22:05:31","null","null","null","null"
